Record ID,Employee,Work Level,Stage,Date
1,Andrea,3.0,Application Received,11/10/2019
2,Andrea,3.0,Interview,31/10/2019
3,Andrea,3.0,Start Date,06/01/2020
4,Andrea,3.0,Work Anniverary,06/01/2021
5,Andrea,4.0,Promotion,01/03/2021
6,Andrea,4.0,Parental Leave Start Date,20/12/2021
7,Andrea,4.0,Work Anniverary,06/01/2022
8,Andrea,4.0,Parental Leave End Date,05/09/2022
9,Bobby,1.0,Application Received,20/01/2020
10,Bobby,1.0,Interview,14/02/2020
11,Bobby,1.0,Start Date,13/03/2020
12,Bobby,1.0,Work Anniverary,13/03/2021
13,Bobby,2.0,Promotion,12/09/2021
14,Bobby,2.0,Work Anniverary,13/03/2022
15,Chloe,2.0,Application Received,01/06/2022
16,Chloe,2.0,Interview,30/06/2022
17,Chloe,2.0,Start Date,26/09/2022
